genus	ADULT_GLIOMA	all_cancers	BLADDER	BREAST	CARCINOMA_OF_UNKNOWN_PRIMARY	CHILDHOOD	COLORECTAL	ENDOCRINE	ENDOMETRIAL_CARCINOMA	HAEMONC	HEPATOPANCREATOBILIARY	LUNG	MALIGNANT_MELANOMA	NASOPHARYNGEAL	ORAL_OROPHARYNGEAL	OTHER	OVARIAN	PROSTATE	RENAL	SARCOMA	SINONASAL	TESTICULAR_GERM_CELL_TUMOURS	UPPER_GASTROINTESTINAL
Achromobacter	138	2999	121	558	25	37	NA	1	85	110	170	247	105	2	NA	0	69	39	267	204	4	9	72
Hammondia	99	2419	53	483	12	51	NA	NA	118	163	32	357	47	NA	NA	1	109	96	190	77	NA	6	NA
Enterococcus	63	2646	48	318	15	8	NA	NA	95	83	50	191	34	NA	NA	NA	67	55	150	90	NA	11	NA
Staphylococcus	55	2437	89	446	15	36	NA	4	79	87	55	272	56	2	NA	NA	85	111	199	356	NA	8	NA
Bacteroides	19	2712	28	213	16	NA	1785	NA	74	11	49	96	39	2	NA	NA	68	40	92	86	3	5	42
Moraxella	16	NA	25	146	NA	7	NA	1	26	28	NA	86	15	2	NA	NA	27	66	89	236	NA	NA	NA
Prevotella	14	2137	43	78	17	5	1337	1	61	20	39	75	21	2	125	NA	24	32	41	72	5	NA	123
Actinomyces	10	NA	27	51	NA	6	NA	NA	21	13	18	56	11	NA	111	NA	15	25	36	61	2	3	91
Xenophilus	10	NA	NA	41	NA	3	NA	1	24	NA	NA	48	10	NA	NA	NA	15	NA	19	NA	3	NA	NA
Haemophilus	8	1581	NA	44	NA	4	NA	NA	NA	11	32	72	NA	NA	108	NA	23	16	26	51	6	2	102
Alistipes	7	1845	NA	51	12	NA	1647	NA	12	NA	15	NA	9	NA	NA	NA	14	NA	18	NA	NA	NA	NA
Parabacteroides	7	1814	NA	NA	14	NA	1662	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA
Rothia	7	NA	14	57	NA	6	NA	NA	14	21	NA	48	10	2	107	NA	19	27	37	68	4	3	99
Veillonella	7	1593	15	39	12	4	NA	NA	NA	15	42	41	12	NA	116	NA	NA	13	NA	33	4	3	117
Faecalibacterium	6	1775	NA	36	12	NA	1609	NA	NA	NA	16	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	NA
Gordonia	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paraburkholderia	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Roseolovirus	6	NA	NA	NA	NA	8	NA	NA	NA	11	39	33	NA	NA	NA	NA	NA	NA	28	NA	NA	NA	NA
Cutibacterium	5	NA	NA	47	NA	NA	NA	NA	NA	NA	NA	26	NA	NA	NA	NA	NA	13	37	70	NA	NA	NA
Fusobacterium	5	2007	14	61	16	NA	1477	NA	29	NA	41	43	17	2	118	NA	18	NA	24	25	4	NA	92
Blautia	NA	1860	NA	48	13	NA	1657	NA	NA	NA	16	NA	9	NA	NA	NA	14	11	17	NA	NA	2	NA
Clostridium	NA	1810	NA	NA	15	NA	1645	NA	NA	NA	23	NA	9	NA	NA	NA	11	NA	NA	NA	NA	NA	NA
Lachnoclostridium	NA	1779	NA	NA	12	NA	1633	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA
Dorea	NA	1699	NA	NA	13	NA	1584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eubacterium	NA	1664	NA	NA	12	NA	1549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Odoribacter	NA	1603	NA	NA	NA	NA	1500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bifidobacterium	NA	1588	NA	NA	11	NA	1326	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	14	18	NA	NA	NA	44
Coprococcus	NA	1574	NA	NA	11	NA	1486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinotignum	NA	NA	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Peptoniphilus	NA	NA	27	NA	NA	3	NA	NA	27	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anaerococcus	NA	NA	21	NA	NA	2	NA	NA	19	NA	NA	NA	11	2	NA	NA	NA	NA	NA	38	NA	NA	NA
Gardnerella	NA	NA	20	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Propionimicrobium	NA	NA	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Finegoldia	NA	NA	17	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	NA	NA	NA
Campylobacter	NA	NA	16	NA	NA	NA	NA	NA	NA	NA	15	NA	10	2	96	NA	NA	NA	NA	NA	NA	NA	54
Porphyromonas	NA	NA	14	NA	NA	3	NA	NA	25	NA	NA	NA	NA	NA	87	NA	NA	NA	NA	29	NA	NA	NA
Aerococcus	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia	NA	NA	NA	88	NA	NA	NA	NA	20	NA	NA	38	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA
Plasmodium	NA	NA	NA	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cloacibacterium	NA	NA	NA	36	NA	NA	NA	NA	NA	NA	NA	37	NA	NA	NA	NA	NA	35	28	162	NA	NA	NA
Roseburia	NA	NA	NA	NA	12	NA	1465	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA
Bilophila	NA	NA	NA	NA	11	NA	1367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rudaea	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alcaligenes	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gemella	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	110	NA	NA	NA	NA	NA	NA	NA	78
Neisseria	NA	NA	NA	NA	NA	3	NA	NA	NA	10	NA	NA	NA	NA	97	NA	NA	NA	NA	NA	3	NA	76
Ruminococcus	NA	NA	NA	NA	NA	NA	1459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hungatella	NA	NA	NA	NA	NA	NA	1401	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oscillibacter	NA	NA	NA	NA	NA	NA	1337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Barnesiella	NA	NA	NA	NA	NA	NA	1325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alcanivorax	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA
Calothrix	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Castellaniella	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chitinophaga	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lactococcus	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leuconostoc	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pantoea	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudohongiella	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA
Thioalkalivibrio	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA
Ab18virus	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acanthamoeba	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acetanaerobacterium	NA	NA	NA	NA	NA	NA	NA	0	NA	25	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acetitomaculum	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acetivibrio	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acetoanaerobium	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Lactobacillus	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54
Nocardia	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	NA	15	NA	NA	NA	NA	NA	20	NA	NA	4	NA
Penicillium	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	26	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA
Klebsiella	NA	NA	NA	NA	NA	NA	NA	NA	NA	68	27	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	NA	NA
Anaplasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Babesia	NA	NA	NA	NA	NA	NA	NA	NA	NA	44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eimeria	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Micromonospora	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pannonibacter	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Citrobacter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	26	NA	NA	NA
Dialister	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	NA	NA	2	82	NA	NA	NA	NA	NA	NA	NA	41
Streptomyces	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Parvimonas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	2	91	NA	NA	NA	NA	NA	NA	NA	49
Alloprevotella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	81	NA	NA	NA	NA	NA	2	NA	NA
Atopobium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	2	NA	NA
Capnocytophaga	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	96	NA	NA	NA	NA	NA	3	NA	41
Leptotrichia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	99	NA	NA	NA	NA	NA	3	NA	71
Peptostreptococcus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Selenomonas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	103	NA	NA	NA	NA	NA	NA	NA	55
Solobacterium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	81	NA	NA	NA	NA	NA	NA	NA	47
Tannerella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	83	NA	NA	NA	NA	NA	NA	NA	NA
Treponema	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	90	NA	NA	NA	NA	NA	NA	NA	NA
Granulicatella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80	NA	NA	NA	NA	NA	NA	NA	50
Acetobacter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acetobacterium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acetonema	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acholeplasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acidaminococcus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acidihalobacter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acidimicrobium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acidiphilium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acidipropionibacterium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acidisphaera	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acidithiobacillus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acidocella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Pandoraea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	NA
Aeromonas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA
Dermacoccus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA
Arcobacter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA
Tepidimonas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	NA	NA	NA
Sphingobacterium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	NA	NA	NA
Immundisolibacter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA
Ramlibacter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA
Aggregatibacter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA
Meiothermus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA
Caldimonas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA
Anoxybacillus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA
Brachymonas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA
Cohnella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA
Desulfococcus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA
Fontimonas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA
Luteimonas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA
Lysobacter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA
